Text,Labels
Alex's home is truly a sanctuary.  Fantastic mountain views from both outdoor balconies.  We enjoyed our stay in Topanga and hope to return soon.  ,location
"Beautiful house, beautiful location and Alex was a great host! Very relaxed and easy vacation for us - highly recommend :)",location
"We  had a fantastic stay at Alex's Topanga Sanctuary!  The house has an upstairs main house, with a king and full size bed, a downstairs apartment and a cottage at the bottom of the property with picturesque views and hiking trail access.  The house was fully equipped and Alex is super helpful...he even arranged for us to have a massage (Taka is awesome)!   Many thanks to Alex, and we hope to see you again.",location
"Alex was a great, responsive host with a wonderful home.<br/><br/>I would recommend to anyone! ",host
Alex was a very gracious host! WOW! What a beautiful being of pure love. He wears his sincerity on his sleeve. His home was very well kept... A true sanctuary. It's like walking into a sacred temple with nature abounding in every direction! ,clean
"Loved staying and this house! The home was comfy and welcoming! Michelle and Barry had all the basics waiting their for us, including a welcome tray with wine and snacks. The decor was perfect and the outdoor space was fabulous! The hosts were very helpful and easy to communicate with. It was a great spot and we didn't want to leave! I will definitely be back to this house! Absolutely loved it! I'd recommend it to anyone staying in LA and the Echo Park/Silverlake area is one of my favorites! So much to do near this house! ",location
We had a very nice stay. The place was both clean and cosy with a lovely terrace. And it was so nice to arrive after a long journey to food in the fridge. I can recommend the place.,clean
"Great location. Very clean cute little cottage. Many extras from fully stocked kitchen, shampoo conditioner, washer dyer to use and great welcome basket. Would recommend this listing",clean
We had a great stay at Michelle and Barrys guest house.  It's a lovely bungalow with all the things you can wish for and more. Amazing  atmosphere and Michelle & Barry are very helpful and friendly. Would definitely want to come back here! ,location
Highly recommended! Host was super friendly and available. The lovely cottage was the perfect size and the patio/yard was peaceful and relaxing. Convenient location - we especially enjoyed all of the vegan restaurants in the area!,location
"Our Memorial Day weekend was delightful at this lovely home. Alexander is a wonderfully accommodating host. His love of the land, and his personal touches in his home are very impressive. We enjoyed our time both outside and inside. The tour he gave us of the property was particularly impressive.<br/>This is a place we would like to bring the whole family.<br/>Thank you Alexander!",location
"The accommodations, service, and experience were excellent. Topanga is quite beautiful and this home surrounded by natural beauty and pristine views, reflects that. Airbnb at its best!",location
Alex welcomed us graciously in his unique and stunning home that sits on top of a huge boulder with views out every window of the Santa Monica mountains . The decor fits the sacredness of the land the house is on. It's truly a sanctuary and resting place that feels like another world. The is a very special place that we had the good fortune of discovering. ,location
We had a great time here! I am sure it would be great to meet Alexander in person.,location
