listing_id,id,date,reviewer_id,reviewer_name,comments,clean_comments,Sentiment,Location / neighborhood (including quiet),View ,Host /Communication,"Amenities (pool, parking, balcony)",Cleanliness ,Space,Privacy,Value / Price,POI (Point of Interest),Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
5327921,72085379,5/1/2016,3174178,Maggie,"Alex was a great, responsive host with a wonderful home. I would recommend to anyone!",alex responsive host wonderful recommend,1,,,2,,,,,,,,,,,,,,,
4998579,70703832,4/19/2016,21354028,Nadia,"Lovely and comfortable, and a great outside area! Thanks for hosting us!",lovely comfortable outside area thank host,1,,,,,,,,,,,,,,,,,,
5336667,49313345,10/3/2015,7572390,Vera,"""We had a wonderful stay in Ari's apartment. The apartment is awesome! The bed very comfortable, and this big rain shower: OMG!:-) <br/>There were a lot of little attentions, like delicious chocolats, beverages in the fridge, Nespresso coffee, even he let us a bottle of champagne because it was our Honeymoon! <br/>The area is pretty nice, short walking distance to bus stop and westwood village (where are a lot of restaurants and any bars). Within 3 Minutes drive you are on the freeway and Highway. <br/>We have not met Ari, but we met his wife Shab who shows us the apartment. With both we had a very nice contact. They responded quickly to my mails and questions. <br/>My husband and me highly recommend this apartment!!""",wonderful aris apartment apartment awesome bed comfortable big rain shower omg lot little attention like delicious chocolat beverage fridge nespresso coffee let bottle champagne honeymoon area pretty short walking distance bus stop westwood village lot restaurant bar minute drive freeway highway meet ari meet wife shab apartment contact respond quickly mail question husband highly recommend apartment,1,2,,2,1,,,,,,,,,,,,,,
4998579,70703832,4/19/2016,21354028,Nadia,"Lovely and comfortable, and a great outside area! Thanks for hosting us!",lovely comfortable outside area thank host,1,1,,,,,,,,,,,,,,,,,
5333153,63170566,2/21/2016,22735633,Peter,"Terrific casita, amazing resort, awesome host! Highly recommend, especially for family vacations.",terrific casita amazing resort awesome host highly recommend especially family vacation,1,,,1,1,,,,,1,,,,,,,,,
4998579,76168761,5/25/2016,6886888,Emily,Michelle and Barry's place was even better than anticipated. They made us feel completely welcome with a nice clean space and special snacks upon arrival. The place itself is private and comfortable- feels like you've got your own house to come and go as you please. Ramen place on Sunset was epic!!<br/>Couldn't recommend more!,michelle barrys anticipate completely welcome clean space special snack arrival private comfortable like come raman sunset epic recommend,1,1,,,1,1,1,,,,,,,,,,,,
5336667,27899072,3/14/2015,18951809,Tammy,""" """"I was extremely happy with Ari's place. The other reviews are more than accurate, but I was so pleased I wanted to chime in. <br/>First, the host truly cares about the experience you have. If you like hotels (and who doesn't) this apartment will give you that feeling *and more.* Don't waste $400/night at a hotel, stay at Ari's. <br/>My stay was for 3 nights. The fridge had key things you'd need (incl candy, and I put that in the """"""""need"""""""" category), and there were amenities in the bathroom as well. My chargeable Panasonic toothbrush died but no worries-- they had a travel toothbrush kit in the cabinet! Unlike at a hotel, no extra charges for whatever you use, which is awesome. <br/>I'm not a drinker, but there were beers in the fridge and even wine available. I prefer tea, and a kettle was right there. Score! Prefer coffee? They got that, too. <br/>Untimately, you can show up at Ari's with just the clothes on your back and a few toiletries and you're good to go. <br/>Things can go wrong, and for a bit the internet went down, but what matters is how the host reacts when there's an issue: I messaged Ari, he responded within 5 minutes and was right on it with the ISP. It was fixed fast. <br/>There's no bathtub, but the shower is *fantastic,* & includes a rainshower head. <br/>Parking in a secure garage, near everything, and a quiet bluilding. I'm a writer, and was able to get lots of work done. <br/>The apt is beautifully renovated and appointed, but the rest of the bldg is not, but don't let that put you off, it's not really a factor in the experience. <br/>I also appreciated the fact that I encountered security guards in and outside of the bldg keeping an eye on things. There's a doorman and a secure front entrance. The apt is on the first floor & faces the street but is obscured by plants and trees, and I found no issues with noise. AC/heaters in both the LR and BR. <br/>You can't go wrong. <br/>Thanks Ari and Shab for making it so easy :) <br/>"""" extremely happy aris review accurate pleased wanted chime host truly care experience like hotel apartment feeling waste night hotel aris night fridge key thing need incl candy need category amenity bathroom chargeable panasonic toothbrush die worry travel toothbrush kit cabinet unlike hotel extra charge use awesome drinker beer fridge wine available prefer tea kettle right score prefer coffee untimately aris clothe toiletry good thing wrong bit internet matter host react issue message ari respond minute right isp fix fast bathtub shower fantastic include rainshower head park secure garage near quiet bluilde writer able lot work apt beautifully renovate appoint rest bldg let factor experience appreciate fact encounter security guard outside bldg eye thing doorman secure entrance apt floor face street obscure plant tree find issue noise acheater wrong thank ari shab easy """,extremely happy aris review accurate pleased wanted chime host truly care experience like hotel apartment feeling waste night hotel aris night fridge key thing need incl candy need category amenity bathroom chargeable panasonic toothbrush die worry travel toothbrush kit cabinet unlike hotel extra charge use awesome drinker beer fridge wine available prefer tea kettle right score prefer coffee untimately aris clothe toiletry good thing wrong bit internet matter host react issue message ari respond minute right isp fix fast bathtub shower fantastic include rainshower head park secure garage near quiet bluilde writer able lot work apt beautifully renovate appoint rest bldg let factor experience appreciate fact encounter security guard outside bldg eye thing doorman secure entrance apt floor face street obscure plant tree find issue noise acheater wrong thank ari shab easy,1,2,,2,2,,,,1,,,,,,,,,,
5078176,36034120,6/24/2015,8871236,Tine,"Matt has been a great host to us! He was very welcoming and friendly. The room was exactly as we expected it would be, and the house had everything we needed. The area is relative central with proximity to beaches and downtown. All in all we had a nice stay and would definitely recommend this place to everyone.",matt host welcome friendly room exactly expect need area relative central proximity beach downtown recommend,1,1,,2,1,,,,,,,,,,,,,,
4998579,101529777,9/13/2016,73779541,Sarah,"Perfect house, it's in a good position, sunset blvd is really around the corner and it's very clean and comfy. Michelle and Berry are very kind, polite and very helpful, they answer almost immediately if you have a problem or you need something. The only bad thing we found was the parking because it's really hard to find an empty spot late at night, but if you're willing to walk a bit, there are empty spots a little far away from home. My friends and I will definitely come back to this house!",perfect good position sunset blvd corner clean comfy michelle berry kind polite helpful answer immediately problem need bad thing find parking hard find spot late night willing walk bite spot little far away friend come,0,1,,2,1,,,,,,,,,,,,,,
5078176,39511448,7/24/2015,25950042,Maxime,Very good place! Thanks Matt. <br/>Maxime.,good thanks matt maxime,1,,,,,,,,,,,,,,,,,,
