listing_id,id,date,reviewer_id,reviewer_name,comments
109,449036,2011-08-15,927861,Edwin,The host canceled my reservation the day before arrival.
109,74506539,2016-05-15,22509885,Jenn,"Me and two friends stayed for four and a half months. It was a great place to stay! The apartment was very comfortable and I really enjoyed having the park with running path across the street. The only downside was it wasn't within walking distance to restaurants, bars, or coffee shops. But they are a short drive away. Overall, great stay!"
2708,13994902,2014-06-09,10905424,Kuberan,i had a wonderful stay. Everything from start to the end was perfect.<br/><br/>Will come back again.
183319,988343,2012-03-11,1219947,Gabriella,"very nice and cozy apartment, well located in Venice Beach. I had a great experience!"
183319,184002210,2017-08-18,70046039,Yan,We loved the experience. The location couldn't have been better. The accommodation is spacious and comfortable. Will definitely come back again!
183319,417033350,2019-02-25,20536088,Rui,"Barbara's place is located right next to the famous Venice Boardwalk, it's literally less a minute away.<br/><br/>The house is spacious and we had a great time there."
184314,502940,2011-09-05,899455,Julie,"Absolutely loved it, Ashley's place is amazing! Definitely made my stay in LA incredibly comfortable and relaxing I wont hesitate to check for availability any time I travel to the west coast."
184314,845777,2012-01-06,111921,Conrad,"Super peaceful place a block from the beach, with quality linens, warm decor, and good karma."
184314,1057730,2012-03-29,1627372,Lacy,"My mom was looking for a place to relax by the beach within walking distance to coffee, food, shops, and of course the glorious ocean;) This place is amazing!!! Perfect location and so warm and cozy!!! Andrea was so helpful and always got back to me right away!! My mom absolutely loved it!!! We are ready to plan her next trip!! Thanks for everything!! Xoxo"
184314,1898293,2012-08-06,2057732,Eleanor,I had such an amazing time. The place is clean and tidy and it really felt like a home away from home. I was always able to get in touch with the host and my moving-in and out transitions were incredibly smooth. I can't wait to go back next month!
184314,1939188,2012-08-10,2445802,Jenna,"Andrea's apartment is in the most perfect location in Venice Beach.  It is a 2 minute walk to the most beautiful beach and a 5 minute walk to lots of bars and restaurants.
<br/>
<br/>Her apartment was clean, very spacious and beautiful.  Check in was so easy.
<br/>
<br/>We will definately be back as soon as we can can.
<br/>
<br/>Thank you so much!!"
184314,1985088,2012-08-14,2969873,Shanti,"Andreas' home was sweet. Great location! It felt safe and had a good feeling. You can walk to the beach and main area. There was one issue with parking due to a dark street and an obscured parking sign which gave me a big parking ticket. But Andrea said for future people she will let them know about parking (for those of us country folk who live n places where parking is never an issue, it's good info to have!). Andrea was very sweet and I definitely recommend her place."
2708,14606598,2014-06-23,2247288,Camilla,"Charles is just amazing and he made my stay special. He is so nice, helpful and absolutely polite. Charles is always there when you need some advice or help and totally respects your privacy too. I could concentrate on my work while Charles was doing his work - also absolutely quiet. The apartment is perfectly tidy, very clean, with tasty furniture and beautiful details. My bedroom even had a desk in it. Also, the apartment is located in a perfect area, most sightseeing spots are in walking distance and there are some very nice restaurants around as well. I highly recommend this place!"
184314,2013305,2012-08-17,2980150,Deborah,"Positive:The Apartment looks exactly as in the pictures at the time of my booking. The area looked safe. The building has a key/locked gate/door that was always locked which is good (you'll get a key). There was no noise from neighbors at night and I'm a light sleeper! The bed was very comfortable. Great books to read next to bed! You can walk to the beach or Starbucks. Location was great. 
<br/>
<br/>The only negative is the apt could be cleaned a little better. 
<br/>Andrea responded to all my messages. I recommend it."
184314,2077009,2012-08-23,2347429,Paul,"Had an incredible stay at Ashley's beach pad.  Cozy, relaxing, and 1 block from the beach!  Ashley was very accommodating and helpful with helping me get settled and made sure I had everything I needed.  Highly recommended!!  One thing to note is that if you rent a car, parking can tend to get very difficult around the area on weekends.  Other than that, it proved to be the perfect getaway pad for me."
184314,2426038,2012-09-27,2057732,Eleanor,Another great stay! An ideal home for holiday and relaxing or if like me - to work from. The house is fully equipped and there is never any stress moving in or out. The apartment is just a couple of blocks away from fun bars and is right on the beach - I already miss doing my morning run everyday.  The only trouble is parking because everyone wants to be there!
184314,2983241,2012-11-27,3083786,Toby,"Great place to stay right by the beach, great energy in the apartment and easy access to all kinds of good stuff."
